scenario,scenario_type_intensity,route_change,route_change_avg,collisions_vehicle,collisions_layout
haze,0,0.00,0.00,100.00,0.00
haze,1,0.00,0.00,100.00,0.00
haze,2,0.00,0.00,100.00,0.00
haze,3,0.00,0.00,100.00,0.00
haze,4,0.00,0.00,100.00,0.00
haze,5,0.00,0.00,100.00,0.00
haze,6,0.00,0.00,100.00,0.00
haze,7,0.00,0.00,100.00,0.00
haze,8,0.00,0.00,100.00,0.00
haze,9,0.00,0.00,100.00,0.00
shade,0,0.00,0.00,100.00,0.00
shade,1,0.00,0.00,0.00,0.00
shade,2,0.00,0.00,0.00,0.00
shade,3,0.00,0.00,0.00,0.00
shade,4,0.00,0.00,0.00,0.00
shade,5,0.00,0.00,0.00,0.00
shade,6,0.00,0.00,0.00,0.00
shade,7,0.00,0.00,0.00,0.00
shade,8,0.00,0.00,0.00,0.00
shade,9,0.00,0.00,0.00,0.00
rain,0,0.00,0.00,100.00,0.00
rain,1,0.00,0.00,0.00,0.00
rain,2,0.00,0.00,0.00,0.00
rain,3,0.00,0.00,0.00,0.00
rain,4,100.00,7.54,0.00,0.00
rain,5,0.00,0.00,0.00,0.00
rain,6,100.00,39.69,0.00,100.00
rain,7,100.00,46.27,0.00,54.55
rain,8,100.00,30.97,0.00,100.00
rain,9,100.00,29.77,0.00,100.00
